CODE,DOMES,STATION DESCRIPTION,LAT,LONG,HEIGHT
LCDT,49625S001,LIBERTYVILLE UNI TED S,42.29505556,272.0396667,189.4
LCK3,22305M004,Lucknow INDIA ,26.91216667,80.95563889,64.2
LCK4,22305M005,Lucknow INDIA ,26.91213889,80.95561111,64.2
LCUR,49104M001,Little Current - Ontar,45.98052778,278.0755278,143.5
LEBA,49631S001,Lebanon Ohio UN ITED,39.4305,275.7168611,224.3
LEFN,43033M001,Leffingwell Nunat ak G,80.45669444,333.7065278,692.1
LEIJ,14267M001,LEIPZIG GERMANY ,51.35397222,12.37411111,178.4
LEPO,97413M001,Le Port FRANCE ,-20.96438889,55.2845,23.1
LEXA,50236M001,Alexandra NEW ZE ALAND,-45.231,169.30825,331.8
LG1G,49132M001,La Grande 1 CANA DA,53.69805556,281.429,21.2
LHAZ,21613M002,Lhasa CHINA ,29.65733333,91.10402778,3624.6
LINH,49767M002,ELLENSBURG WASHI NGTON,47.00033333,239.4615,472.3
LKTA,50233M001,Lake Taylor NEW ZEALA,-42.78336111,172.2663333,713
LKYA,59952M001,Larrakeyah AUSTR ALIA,-12.45547222,130.8247222,69.3
LMMF,97205M001,Lamentin Airport FRAN,14.59480556,299.0038333,-27.1
LORD,59998M001,Lord Howe Island AUST,-31.51988889,159.0611944,71.4
LOV0,10434M001,Lovo SWEDEN ,59.33780556,17.82891667,79.7
LOV6,10434M002,Lovo SWEDEN ,59.33788889,17.82891667,79.7
LOYF,49261M001,Annapolis MD UNI TED S,38.97447222,283.4778056,-15.8
LPAL,81701M001,La Palma SPAIN ,28.76388889,342.1061667,2197.2
LPGS,41510M001,La Plata ARGENTI NA,-34.90675,302.0676944,27.9
LROC,10023M001,La Rochelle FRAN CE,46.15894444,358.7806944,55.9
LURI,19920M001,Luri FRANCE ,42.88841667,9.475944444,54.2
M0SE,12772M001,ROME - S Pietro in Vi,41.89311111,12.49325,120.6
MAC1,50135M001,Macquarie Island AUST,-54.49952778,158.9358333,-6.8
MAD2,13407S012,Madrid-Robledo S PAIN,40.42916667,355.7503333,829.4
MADR,13407S012,Madrid-Robledo S PAIN,40.42916667,355.7503333,829.4
MAKO,M,Makorori ,-38.64380556,178.1291389,255
MAL1,13444M002,Palma de Mallorca  SPA,39.56019444,2.637472222,53.8
MAL2,33201M003,MALINDI KENYA ,-2.996055556,40.19413889,-20.9
MALA,13443M001,Malaga SPAIN ,36.72611111,355.6064722,119.8
MALL,13444M001,Palma de Mallorca  SPA,39.55263889,2.624555556,62
MANA,41201S001,Managua NICARAGU A,12.14894444,273.751,69
mar-06,10405M002,Martsbo SWEDEN ,60.59513889,17.25852778,73.7
